formula,theoretical
Eu2CdGe,TRUE
Ba2GdCoCu2O7,TRUE
MgTi4(CuS4)2,TRUE
IrRu3,TRUE
ScCu3HgSe4,TRUE
Ni3Se3O10,FALSE
Y2ReC2,FALSE
GeRh3,TRUE
CaCu3(P2O7)2,TRUE
MgCr2(PO4)2,TRUE
Na2In4Ga4SiS11O48,TRUE
Tm2MgV2O8,TRUE
Li4Ni7(OF7)2,TRUE
YB2Os,FALSE
NaTl2InF6,TRUE
La2CuO4,FALSE
Zr2BeTc,TRUE
Mg6GaCu,TRUE
BiBCl,TRUE
Ce2Ni12P5,TRUE
La(Al10Cr)2,FALSE
PrSI,TRUE
LaS,FALSE
CrP3(HO5)2,FALSE
Ag2H12S(NO)4,FALSE
Mn(Ni9O10)2,TRUE
Li2RhF6,FALSE
Na2CuCSO7,TRUE
ScAgGe,FALSE
PuTcB2,FALSE
Ni(SO4)2,TRUE
Ce3Zn11,FALSE
ZnCuMo2O7,TRUE
Ce2AlGaNi2,TRUE
Li3Cr13Ni3(SO4)24,TRUE
Na6NbAl3Si4(SO12)2,TRUE
Zr9V4S,FALSE
Mn5(P3O11)2,TRUE
ZrTiCuS4,TRUE
Sc2S3,FALSE
Sr4Bi14O25,TRUE
Ce(MnCo2)4,FALSE
BaMg6Zn,TRUE
Dy(CrSi)2,FALSE
La5Pb3Se,FALSE
Ce2ReC2,FALSE
Bi4(SeS)3,TRUE
PN2,FALSE
La7(FeO8)2,TRUE
Ni(TeO3)4,TRUE
K29NaHg48,FALSE
TbRu3,TRUE
Ba3MgNb2CoO9,TRUE
RbMg6Fe,TRUE
Cs4CdNi3F12,FALSE
Mg2VCr3S8,TRUE
Ho3Er,TRUE
ZnPPt5,FALSE
Yb3Pb,TRUE
NdFeSb3,FALSE
Tl2ZnI4,FALSE
SrMgGe,FALSE
Cs3Re6Se8(Cl3O)2,FALSE
LiCa2Mn2Si5HO15,FALSE
CsTe7Mo6,FALSE
TmMgZn2,TRUE
NaBiPd2,TRUE
Sr5(RhN3)2,TRUE
KNa7V6Cr2O24,TRUE
BeS,FALSE
CsK2Pt,FALSE
CuH4C3ClO2,FALSE
Na9Mg2Nb4Si6(PO12)3,TRUE
PmLuIn2,TRUE
K2Cd2O3,FALSE
U3Al2Si3,FALSE
Gd3Lu2(GaO4)3,TRUE
Li3Cr4(PO4)6,TRUE
Tl3VS4,FALSE
Rb2LiSbI6,TRUE
ZnCoF4,TRUE
TlP,TRUE
HoAgPb,FALSE
Sr2CuWO6,FALSE
LiVO3,FALSE
Ca5(IO6)2,FALSE
Zn2InCuSe4,TRUE
Tb4Al,TRUE
Ho13(Mg2Zn27)2,TRUE
BaThN2,TRUE
LiPu2TeO2,TRUE
Li17(CoO4)3,TRUE
Zr5NiSb3,FALSE
Er3Ga8Ag3,FALSE
EuC10,FALSE
SrCeN2,FALSE
Pr23Cd4Ru7,FALSE
CrP2W,TRUE
Rb2LiPrF6,TRUE
Gd3Mn3Ga2Si,TRUE
Rb8Hg3Ge43,TRUE
KHo2F7,FALSE
Mg2Ga,FALSE
LaP3Au2,TRUE
CuSb2BrO3,TRUE
Sc2Si3,TRUE
Zr2PtRh,TRUE
LiGaGe,FALSE
RbCrNiF6,TRUE
CsPbO3,TRUE
Sr5Cd2Sb5F,FALSE
Pr2Mn17C2,TRUE
AcPbAu2,TRUE
Cs2NaTlCl6,TRUE
Na2CaP2H16(S3O4)2,FALSE
TmGaAg,TRUE
CsMg6Co,TRUE
Sr2TiRuO6,TRUE
V2Co(PO4)3,TRUE
MgTiPt2,TRUE
Mn2Nb2O9,TRUE
Ga4Bi3N,TRUE
CsBaIn2(PO4)3,TRUE
La7SmMn4(FeO5)4,TRUE
CeIrPt,TRUE
Mg4Sn5(TeO6)3,TRUE
PrDyAl4,TRUE
TaCoNi2,TRUE
Co6OF11,TRUE
Gd3Ni7B2,FALSE
Sb3N5,TRUE
LiMg30TiO32,TRUE
CaSmV4O12,TRUE
Cs2KBiF6,FALSE
KBi6ClO9,FALSE
K2FePH5(CO5)2,FALSE
Li8MnO5F,TRUE
MnSeO3,FALSE
Th6MnBr15,TRUE
BaLi2P2O7,FALSE
ZnH2SeO4,FALSE
K2Fe3P4(HO4)4,FALSE
ThMo2O9,FALSE
Li9Mn2P4HO18,TRUE
ZnP2H15C5NO9,FALSE
Cs2GaSb2,FALSE
RuN3Cl5O,FALSE
BaSi,FALSE
SiSbOs2,TRUE
CrHg3(SO2)2,FALSE
Cd(CoN)2,TRUE
CsUP3O11,FALSE
Rb3NaNb2O3F10,TRUE
Ca18Eu2P12(SO16)3,TRUE
Na6MnNi3(SbO6)2,TRUE
CuSnO12,TRUE
Ho5Ru2,FALSE
Na4PuH7O9,FALSE
LiMn4O8,FALSE
SrV13O18,FALSE
Li16(CoO4)3,TRUE
SrVN2,TRUE
Pr2Ga5Au3,TRUE
ZnCu2PO8,FALSE
Mg14ZnFeO16,TRUE
Ge19(SbI)4,TRUE
XeNO3F,FALSE
Pr8Ni4O17,TRUE
GaP2H11O12,TRUE
Sr2Al3FeO8,TRUE
TmPS,FALSE
LiVSnO4,TRUE
Ba3CaZrWO9,TRUE
Li4Mn3Sb(PO4)4,TRUE
Li10Pb3,FALSE
LuTa6Br13O3,FALSE
Na2Sc3NbSi2(SO6)4,TRUE
Pb(CO3)2,TRUE
Er4Co3,TRUE
CaDyAl4,TRUE
K2NaCo(CN)6,FALSE
Zr3N2O3,TRUE
La(AlGe)2,FALSE
GdSiAg,FALSE
YbPmHg2,TRUE
GaBiO3,FALSE
Na2Mg2Fe2Se3(SO8)3,TRUE
CeRhPb,FALSE
Mg2TiNb2O8,TRUE
Ce3SiS2,TRUE
K3Fe2(PO4)3,FALSE
Sr3CaMn2O8,TRUE
Ni15O16,TRUE
MgZn2Bi6Ru8O27,TRUE
Ca2EuBeO5,TRUE
TiV(PO4)3,TRUE
SbPb4,TRUE
Yb2AgPd,TRUE
BaMnN2,TRUE
YEr3,TRUE
Pr2Sn2O7,FALSE
Ca5V3ClO12,FALSE
Pu3S2,TRUE
Al2P3O13,TRUE
Li2Ti3ZnO8,TRUE
P2Ru,FALSE
Yb2InSn,TRUE
EuInRh,FALSE
CrH6CN3ClO3,TRUE
KSi4H27(C3O)3,FALSE
SrCaZnSi2O7,TRUE
ZnP2H15C4NO8,FALSE
Na6Nb20Zn4Si21(S5O48)3,TRUE
GdCoO3,TRUE
Fe3Ge,FALSE
HfZn,TRUE
Li(PrGe3)2,FALSE
TbAg,FALSE
Nb3CuO8,FALSE
Zn2P2H12O11,FALSE
Re3P4,FALSE
La3MnGaS7,FALSE
LaMg6Cu,TRUE
NdInRh,FALSE
EuCu2SnS4,FALSE
CaLa2CrO6,TRUE
Na4Ni3(SbO5)2,TRUE
Al3Si3Ag4IO12,TRUE
SbAsO5,FALSE
SmSBr,TRUE
Mn3FeCo2(PO4)6,TRUE
Li4FeCu3O8,TRUE
Li3Si2BiO7,TRUE
Tb3Ga2,FALSE
K3U,TRUE
CeTaTiO6,TRUE
HgTe2(OF5)2,FALSE
TmN7O15,TRUE
Ba2Zr7O16,TRUE
YMg6TiO8,TRUE
Ba4Na2CaTi3Si4(SO13)2,FALSE
CaAl2Si6H10O21,TRUE
KIn(WO3)2,TRUE
KBaAsO4,FALSE
H7CSeN3O4,FALSE
Li12MnCo3P4(CO7)4,TRUE
US2O9,FALSE
Ti2V3Cr(PO4)6,TRUE
RbGdS2,FALSE
LiGaS2,FALSE
La5C2I9,FALSE
Ca5(SiO5)2,FALSE
Li6Ca3MnC6(O9F)2,TRUE
NiH12(C2O5)2,TRUE
La6Al4Fe9As,TRUE
Cr2Cu(NO2)4,FALSE
